"Rank","Player","Position","Position Rank","ADP on March  4","ADP on March 11","ADP Change"
42,"Jameson Williams","WR","WR21",40.7,43.1,2.4
43,"Javonte Williams","RB","RB19",43.3,43.2,-0.1
44,"Emeka Egbuka","WR","WR22",44.8,43.4,-1.4
45,"Colston Loveland","TE","TE3",44.2,43.9,-0.3
46,"Davante Adams","WR","WR23",42.1,45.3,3.2
47,"Terry McLaurin","WR","WR24",46,47.1,1.1
48,"TreVeyon Henderson","RB","RB20",47.5,47.9,0.4
49,"Lamar Jackson","QB","QB2",48.7,49.6,0.9
50,"Jaylen Waddle","WR","WR25",51,51.1,0.1
51,"Cam Skattebo","RB","RB21",48.1,52.3,4.2
52,"Rome Odunze","WR","WR26",56.9,52.3,-4.6
53,"Quinshon Judkins","RB","RB22",53.2,53.8,0.6
54,"Carnell Tate","WR","WR27",53.7,55,1.3
55,"Mike Evans","WR","WR28",64.4,56.9,-7.5
56,"Christian Watson","WR","WR29",56.3,57.4,1.1
57,"RJ Harvey","RB","RB23",52.4,58.7,6.3
58,"Brian Thomas","WR","WR30",59.5,59.1,-0.4
59,"Makai Lemon","WR","WR31",58.5,60.9,2.4
60,"D'Andre Swift","RB","RB24",58.9,61.2,2.3
61,"Jayden Daniels","QB","QB3",61.5,62.7,1.2
62,"Marvin Harrison","WR","WR32",63.5,63.7,0.2
63,"Bhayshul Tuten","RB","RB25",75.9,64.6,-11.3
64,"D.J. Moore","WR","WR33",93.6,64.6,-29
65,"Joe Burrow","QB","QB4",64,65.1,1.1
66,"Jordyn Tyson","WR","WR34",61.7,66.1,4.4
67,"Courtland Sutton","WR","WR35",62.6,66.4,3.8
68,"Caleb Williams","QB","QB5",68.3,68.5,0.2
69,"Drake Maye","QB","QB6",66.9,70.4,3.5
70,"Jalen Hurts","QB","QB7",69.5,70.4,0.9
71,"Tyler Warren","TE","TE4",69.3,71.6,2.3
72,"DK Metcalf","WR","WR36",67.1,71.7,4.6
73,"Jaylen Warren","RB","RB26",71.6,72.9,1.3
74,"Parker Washington","WR","WR37",71.6,72.9,1.3
75,"David Montgomery","RB","RB27",82.4,73.1,-9.3
76,"Alec Pierce","WR","WR38",79.4,73.9,-5.5
77,"Michael Wilson","WR","WR39",75.4,77.6,2.2
78,"Rhamondre Stevenson","RB","RB28",75.1,78.2,3.1
79,"Harold Fannin","TE","TE5",75.5,79.1,3.6
80,"Ricky Pearsall","WR","WR40",75.4,79.1,3.7
81,"Justin Herbert","QB","QB8",80.3,81.6,1.3
82,"Dak Prescott","QB","QB9",81.9,82.9,1
83,"Trevor Lawrence","QB","QB10",82.9,84.2,1.3
84,"Jakobi Meyers","WR","WR41",85.4,84.7,-0.7
85,"Jaxson Dart","QB","QB11",81.4,84.7,3.3
86,"Chuba Hubbard","RB","RB29",90,86.4,-3.6
87,"Tucker Kraft","TE","TE6",83.7,86.5,2.8
88,"Tyler Allgeier","RB","RB30",97.5,88,-9.5
89,"Kyle Monangai","RB","RB31",86.2,88.3,2.1
90,"Patrick Mahomes","QB","QB12",87.4,88.3,0.9
91,"Michael Pittman Jr.","WR","WR42",92.4,91.8,-0.6
92,"Quentin Johnston","WR","WR43",88.2,93.5,5.3
93,"Kyle Pitts","TE","TE7",90.1,93.7,3.6
94,"Tony Pollard","RB","RB32",90.2,95.3,5.1
95,"Brock Purdy","QB","QB13",97.6,96.1,-1.5
96,"Sam LaPorta","TE","TE8",94.1,96.2,2.1
97,"Blake Corum","RB","RB33",97,97,0
98,"Rico Dowdle","RB","RB34",102.3,97,-5.3
99,"Jordan Addison","WR","WR44",100.1,97.1,-3
100,"Matthew Stafford","QB","QB14",99.6,99.6,0
101,"Xavier Worthy","WR","WR45",100.2,101.7,1.5
102,"Jadarian Price","RB","RB35",96.8,102.5,5.7
103,"Chris Godwin","WR","WR47",113.2,103.4,-9.8
104,"Wan'Dale Robinson","WR","WR46",110.8,103.4,-7.4
105,"Bo Nix","QB","QB15",102.4,103.8,1.4
106,"Jared Goff","QB","QB16",104.3,105,0.7
107,"Oronde Gadsden","TE","TE9",105.4,106.8,1.4
108,"Jordan Love","QB","QB17",106.9,107.2,0.3
109,"Jayden Reed","WR","WR48",113.7,109.5,-4.2
110,"Baker Mayfield","QB","QB18",109.9,110.4,0.5
111,"Dalton Kincaid","TE","TE10",110.5,112.5,2
112,"Jauan Jennings","WR","WR49",112.5,115.4,2.9
113,"Kenneth Gainwell","RB","RB36",125,116.5,-8.5
114,"Jalen Coker","WR","WR50",118.3,116.6,-1.7
115,"Tyler Shough","QB","QB19",117.8,117.5,-0.3
116,"Stefon Diggs","WR","WR51",97.8,119.9,22.1
117,"Jonah Coleman","RB","RB37",115.8,120.1,4.3
118,"Denzel Boston","WR","WR52",110.6,120.4,9.8
119,"George Kittle","TE","TE11",120.4,120.9,0.5
120,"Kyler Murray","QB","QB20",136.3,122.1,-14.2
121,"Malik Willis","QB","QB21",129.8,122.3,-7.5
122,"Khalil Shakir","WR","WR53",117,122.8,5.8
123,"Jordan Mason","RB","RB38",134.5,123.1,-11.4
124,"KC Concepcion","WR","WR54",122.9,124.4,1.5
125,"Matthew Golden","WR","WR55",122.1,124.5,2.4
126,"Jake Ferguson","TE","TE12",127.2,126.1,-1.1
127,"Jayden Higgins","WR","WR56",125.6,126.6,1
128,"Romeo Doubs","WR","WR57",137,126.7,-10.3
129,"J.K. Dobbins","RB","RB39",135.9,127,-8.9
130,"Sam Darnold","QB","QB22",125.3,128,2.7
131,"Kenyon Sadiq","TE","TE13",129,129,0
132,"Jacory Croskey-Merritt","RB","RB40",124.1,130,5.9
133,"C.J. Stroud","QB","QB23",137.3,134.4,-2.9
134,"Tyrone Tracy","RB","RB41",133.3,135.4,2.1
135,"Deebo Samuel","WR","WR58",130.3,136.1,5.8
136,"Brenton Strange","TE","TE14",138.6,138.1,-0.5
137,"Rashid Shaheed","WR","WR59",141,138.2,-2.8
138,"Fernando Mendoza","QB","QB24",135.5,139.7,4.2
139,"Josh Downs","WR","WR60",151.7,141.5,-10.2
140,"Bryce Young","QB","QB25",142.2,142.6,0.4
141,"James Conner","RB","RB42",145.4,143.2,-2.2
142,"Dallas Goedert","TE","TE15",136.5,144.4,7.9
143,"Cam Ward","QB","QB26",146.2,144.5,-1.7
144,"Woody Marks","RB","RB43",131.2,144.5,13.3
145,"Mike Washington Jr.","RB","RB44",160.6,145.1,-15.5
146,"Trey Benson","RB","RB45",133.7,145.5,11.8
147,"Juwan Johnson","TE","TE16",147,147.6,0.6
148,"Rachaad White","RB","RB46",155.6,148.3,-7.3
149,"Brandon Aiyuk","WR","WR61",145.7,149.3,3.6
150,"Jalen McMillan","WR","WR62",154.8,149.4,-5.4
151,"Mark Andrews","TE","TE17",151.7,149.9,-1.8
152,"Emmett Johnson","RB","RB47",138.6,150,11.4
153,"Travis Hunter","WR","WR63",148.3,150.7,2.4
154,"Travis Kelce","TE","TE18",161.7,152.1,-9.6
155,"Daniel Jones","QB","QB27",154.1,153.1,-1
156,"Zach Charbonnet","RB","RB48",160.4,154.9,-5.5
157,"Omar Cooper Jr.","WR","WR64",164.3,156.3,-8
158,"Tyreek Hill","WR","WR65",149.3,156.7,7.4
159,"Jonathon Brooks","RB","RB49",161.4,157.3,-4.1
160,"Hunter Henry","TE","TE19",157.4,159.1,1.7
161,"Isaiah Likely","TE","TE20",172,159.3,-12.7
162,"Kayshon Boutte","WR","WR66",158.9,160.9,2
163,"Alvin Kamara","RB","RB50",149.3,161.6,12.3
164,"Jerry Jeudy","WR","WR67",161,163.4,2.4
165,"Tyjae Spears","RB","RB51",159.6,163.4,3.8
166,"Pat Bryant","WR","WR68",159.9,163.7,3.8
167,"Troy Franklin","WR","WR69",165.1,167,1.9
168,"Sean Tucker","RB","RB52",165.9,167.4,1.5
169,"Kimani Vidal","RB","RB53",176.6,168.8,-7.8
170,"AJ Barner","TE","TE21",168.8,169.4,0.6
171,"Aaron Jones","RB","RB54",168.7,172.9,4.2
172,"Chimere Dike","WR","WR70",174.1,174.8,0.7
173,"David Njoku","TE","TE22",178.3,176.2,-2.1
174,"Calvin Ridley","WR","WR71",171.7,177.5,5.8
175,"Tank Dell","WR","WR72",176,177.7,1.7
176,"Tre' Harris","WR","WR73",179.4,178,-1.4
177,"Jacoby Brissett","QB","QB28",191.8,179.7,-12.1
178,"Dalton Schultz","TE","TE23",186.7,179.9,-6.8
179,"Michael Penix","QB","QB29",171.5,180.1,8.6
180,"Adonai Mitchell","WR","WR74",181,180.8,-0.2
181,"Braelon Allen","RB","RB55",173.4,181.8,8.4
182,"Eli Stowers","TE","TE24",192.7,182.5,-10.2
183,"Dylan Sampson","RB","RB56",183.1,183.2,0.1
184,"Isaac TeSlaa","WR","WR75",185.4,183.2,-2.2
185,"Kaytron Allen","RB","RB57",178.3,183.9,5.6
186,"Brian Robinson","RB","RB58",187.5,185.7,-1.8
187,"T.J. Hockenson","TE","TE25",189.6,185.9,-3.7
188,"Tank Bigsby","RB","RB59",190.2,187.4,-2.8
189,"Tre Tucker","WR","WR76",185.9,187.9,2
190,"Theo Johnson","TE","TE26",174.3,188.8,14.5
191,"Elijah Sarratt","WR","WR77",183.3,191.8,8.5
192,"Terrance Ferguson","TE","TE27",184.4,192.2,7.8
193,"Keaton Mitchell","RB","RB60",198.8,194,-4.8
194,"Tory Horton","WR","WR78",194,194.7,0.7
195,"Nicholas Singleton","RB","RB61",194.3,195.6,1.3
196,"Zachariah Branch","WR","WR79",196.7,199.3,2.6
197,"Gunnar Helm","TE","TE28",201.4,199.6,-1.8
198,"Mason Taylor","TE","TE29",205.8,200.9,-4.9
199,"Ray Davis","RB","RB62",202.4,201.5,-0.9
200,"Elic Ayomanor","WR","WR80",198.4,202.5,4.1
201,"Chris Brazzell II","WR","WR81",207.1,205.3,-1.8
202,"Aaron Rodgers","QB","QB30",214.8,205.7,-9.1
203,"Cade Otton","TE","TE30",214.1,206.8,-7.3
204,"Ryan Flournoy","WR","WR82",211.6,208,-3.6
205,"Ja'Kobi Lane","WR","WR83",210.3,208.4,-1.9
206,"Kyle Williams","WR","WR84",220.7,210,-10.7
207,"Pat Freiermuth","TE","TE31",222.4,210.3,-12.1
208,"Colby Parkinson","TE","TE32",204.3,210.6,6.3
209,"Najee Harris","RB","RB63",210.4,210.6,0.2
210,"Germie Bernard","WR","WR85",222.4,212.8,-9.6
211,"Marvin Mims Jr.","WR","WR86",208.7,213.3,4.6
212,"Jalen Nailor","WR","WR87",237.7,213.9,-23.8
213,"Keon Coleman","WR","WR88",201.5,214.7,13.2
214,"Tua Tagovailoa","QB","QB31",235.3,216.4,-18.9
215,"Kaleb Johnson","RB","RB64",214.1,217.5,3.4
216,"Demond Claiborne","RB","RB65",216.2,220.4,4.2
217,"J.J. McCarthy","QB","QB32",204.6,220.7,16.1
218,"Joe Mixon","RB","RB66",199.7,222.2,22.5
219,"Geno Smith","QB","QB33",234.7,222.7,-12
220,"Cooper Kupp","WR","WR89",220,222.9,2.9
221,"Malik Washington","WR","WR90",222.8,223.6,0.8
222,"Shedeur Sanders","QB","QB34",211.2,223.7,12.5
223,"Emanuel Wilson","RB","RB67",212,224.1,12.1
224,"Darnell Mooney","WR","WR91",218,225.5,7.5
225,"Isiah Pacheco","RB","RB68",235.5,225.6,-9.9
226,"Jake Tonges","TE","TE33",223.2,226.4,3.2
227,"Jaydon Blue","RB","RB69",229.6,227.3,-2.3
228,"Ollie Gordon","RB","RB70",230.9,227.7,-3.2
229,"Devaughn Vele","WR","WR92",227.8,227.8,0
230,"Keenan Allen","WR","WR93",227,228,1
231,"Chig Okonkwo","TE","TE34",230.4,228.5,-1.9
232,"Devin Neal","RB","RB71",224.3,228.9,4.6
233,"Brashard Smith","RB","RB72",221.4,229.3,7.9
234,"LeQuint Allen","RB","RB73",237.5,229.8,-7.7
235,"Jaylin Noel","WR","WR94",231.2,231.5,0.3
236,"George Holani","RB","RB74",238.7,232,-6.7
237,"Ted Hurst","WR","WR95",234.8,232.2,-2.6
238,"Kirk Cousins","QB","QB35",226.2,232.3,6.1
239,"Mike Gesicki","TE","TE35",235.8,232.9,-2.9
240,"Tez Johnson","WR","WR96",237,233.5,-3.5
241,"Chris Bell","WR","WR97",232.2,233.8,1.6
242,"Chris Rodriguez","RB","RB75",235.2,233.8,-1.4
243,"Ty Simpson","QB","QB36",229.3,233.8,4.5
244,"Rashod Bateman","WR","WR98",232.3,233.9,1.6
245,"Jordan James","RB","RB76",233.8,234.9,1.1
246,"Evan Engram","TE","TE36",236.1,235.9,-0.2
247,"Dontayvion Wicks","WR","WR99",238.5,236.4,-2.1
248,"Adam Randall","RB","RB77",234.9,237.1,2.2
249,"Mac Jones","QB","QB37",235.4,237.2,1.8
250,"Darius Slayton","WR","WR100",238.1,237.3,-0.8
251,"Mack Hollins","WR","WR101",239.5,237.5,-2
252,"Jack Bech","WR","WR102",236.3,237.6,1.3
253,"Anthony Richardson","QB","QB38",235.1,237.8,2.7
254,"Jahan Dotson","WR","WR104",239.9,237.8,-2.1
255,"Malachi Fields","WR","WR103",228.6,237.8,9.2
256,"Deshaun Watson","QB","QB39",239,238.4,-0.6
257,"Isaiah Bond","WR","WR105",237,238.4,1.4
258,"Max Klare","TE","TE37",238.2,238.4,0.2
259,"Ben Sinnott","TE","TE39",238.2,238.5,0.3
260,"Christian Kirk","WR","WR106",238,238.5,0.5
261,"DJ Giddens","RB","RB78",238.7,238.5,-0.2
262,"Darnell Washington","TE","TE38",239.4,238.5,-0.9
263,"Seth McGowan","RB","RB79",237,238.5,1.5
264,"Bryce Lance","WR","WR107",237.9,238.6,0.7
265,"Jaylen Wright","RB","RB80",239,238.6,-0.4
266,"MarShawn Lloyd","RB","RB81",239.4,238.8,-0.6
267,"Antonio Williams","WR","WR109",238.6,238.9,0.3
268,"Chris Brooks","RB","RB83",239.6,238.9,-0.7
269,"Ty Johnson","RB","RB82",239.7,238.9,-0.8
270,"Tyler Higbee","TE","TE40",239.8,238.9,-0.9
271,"Tyquan Thornton","WR","WR108",239.8,238.9,-0.9
272,"Elijah Arroyo","TE","TE41",238.9,239,0.1
273,"Olamide Zaccheaus","WR","WR110",240,239,-1
274,"Skyler Bell","WR","WR110",238.4,239,0.6
275,"Xavier Legette","WR","WR112",237.5,239,1.5
276,"Dawson Knox","TE","TE42",239.6,239.1,-0.5
277,"Andrei Iosivas","WR","WR114",239.4,239.3,-0.1
278,"DeMario Douglas","WR","WR113",239.7,239.3,-0.4
279,"Ja'Tavion Sanders","TE","TE43",238.7,239.3,0.6
280,"Devontez Walker","WR","WR115",239.7,239.4,-0.3
281,"Hollywood Brown","WR","WR117",239,239.4,0.4
282,"Kendrick Bourne","WR","WR115",239.9,239.4,-0.5
283,"Michael Mayer","TE","TE45",239.3,239.4,0.1
284,"Zach Ertz","TE","TE44",239.4,239.4,0
285,"Cole Kmet","TE","TE46",239.6,239.5,-0.1
286,"Treylon Burks","WR","WR118",239.9,239.5,-0.4
287,"Derek Carr","QB","QB41",238.6,239.6,1
288,"Jonnu Smith","TE","TE47",239.7,239.6,-0.1
289,"Justin Fields","QB","QB40",239.7,239.6,-0.1
290,"Kaelon Black","RB","RB85",239.8,239.6,-0.2
291,"Kareem Hunt","RB","RB84",239.5,239.6,0.1
292,"Anthony Miller","WR","WR120",239.7,239.7,0
293,"Greg Dulcich","TE","TE49",240,239.7,-0.3
294,"Jaylin Lane","WR","WR119",239.7,239.7,0
295,"Justice Hill","RB","RB88",239.7,239.7,0
296,"Luke Altmyer","QB","QB43",240,239.7,-0.3
297,"Luke McCaffrey","WR","WR120",239.5,239.7,0.2
298,"Michael Trigg","TE","TE48",239.2,239.7,0.5
299,"Sione Vaki","RB","RB86",239.8,239.7,-0.1
300,"Tahj Brooks","RB","RB86",239.8,239.7,-0.1
301,"Trevor Etienne","RB","RB89",239.8,239.7,-0.1
302,"Tyson Bagent","QB","QB42",239.8,239.7,-0.1
303,"Adam Trautman","TE","TE51",240,239.8,-0.2
304,"Ameer Abdullah","RB","RB91",239.8,239.8,0
305,"Brandon Powell","WR","WR131",239.8,239.8,0
306,"Darren Waller","TE","TE50",239.7,239.8,0.1
307,"Daylen Baldwin","WR","WR124",239.8,239.8,0
308,"DeAndre Hopkins","WR","WR124",239.8,239.8,0
309,"Deion Burks","WR","WR121",239.2,239.8,0.6
310,"Derek Parish","TE","TE50",239.8,239.8,0
311,"Isaac Guerendo","RB","RB92",239.9,239.8,-0.1
312,"Jonathan Ward","RB","RB88",239.8,239.8,0
313,"JuJu Smith-Schuster","WR","WR127",239.8,239.8,0
314,"Kalel Mullings","RB","RB90",240,239.8,-0.2
315,"KeAndre Lambert-Smith","WR","WR123",239.6,239.8,0.2
316,"Kyric McGowan","WR","WR122",239.7,239.8,0.1
317,"Malik Davis","RB","RB92",240,239.8,-0.2
318,"Marcus Mariota","QB","QB43",239.9,239.8,-0.1
319,"Noah Fant","TE","TE52",240,239.8,-0.2
320,"Roman Hemby","RB","RB94",239.6,239.8,0.2
321,"Seth Henigan","QB","QB46",239.8,239.8,0
322,"Tai Felton","WR","WR122",240,239.8,-0.2
323,"Tanner McLachlan","TE","TE50",239.8,239.8,0
324,"Taylen Green","QB","QB44",239.6,239.8,0.2
325,"Velus Jones Jr.","RB","RB90",239.8,239.8,0
326,"Andre Roberts","WR","WR131",239.9,239.9,0
327,"Audric Estime","RB","RB96",239.8,239.9,0.1
328,"Austin Ekeler","RB","RB102",239.9,239.9,0
329,"Blake Watson","RB","RB98",239.9,239.9,0
330,"Brenen Thompson","WR","WR125",239.5,239.9,0.4
331,"Calvin Austin III","WR","WR135",239.8,239.9,0.1
332,"Carson Beck","QB","QB46",240,239.9,-0.1
333,"Cedric Tillman","WR","WR125",239.8,239.9,0.1
334,"Charlie Kolar","TE","TE53",240,239.9,-0.1
335,"Daniel Bellinger","TE","TE58",240,239.9,-0.1
336,"Demarcus Robinson","WR","WR131",239.9,239.9,0
337,"Devin Singletary","RB","RB98",240,239.9,-0.1
338,"Dont'e Thornton","WR","WR124",239.9,239.9,0
339,"Efton Chism","WR","WR139",240,239.9,-0.1
340,"Eric McAlister","WR","WR135",239.6,239.9,0.3
341,"Gardner Minshew II","QB","QB49",240,239.9,-0.1
342,"Giles Jackson","WR","WR134",239.9,239.9,0
343,"Isaiah Davis","RB","RB95",239.6,239.9,0.3
344,"Jalen Milroe","QB","QB50",239.8,239.9,0.1
345,"Jalen Royals","WR","WR125",239.7,239.9,0.2
346,"Jam Miller","RB","RB97",239.8,239.9,0.1
347,"Jarquez Hunter","RB","RB98",239.8,239.9,0.1
348,"Jase McClellan","RB","RB104",239.9,239.9,0
349,"Jelani Woods","TE","TE61",239.9,239.9,0
350,"Jesper Horsted","TE","TE57",239.9,239.9,0
351,"Jimmy Horn","WR","WR135",239.9,239.9,0
352,"Joe Flacco","QB","QB47",239.7,239.9,0.2
353,"Justin Joly","TE","TE56",239.3,239.9,0.6
354,"KaVontae Turpin","WR","WR131",239.9,239.9,0
355,"Kalif Raymond","WR","WR130",239.9,239.9,0
356,"Konata Mumpfield","WR","WR135",239.9,239.9,0
357,"Le'Veon Moss","RB","RB102",239.8,239.9,0.1
358,"Lynn Bowden","WR","WR125",239.9,239.9,0
359,"Mac Dalena","WR","WR125",239.9,239.9,0
360,"Mike White","QB","QB45",239.8,239.9,0.1
361,"Nick Bowers","TE","TE56",239.9,239.9,0
362,"Nick Chubb","RB","RB98",239.9,239.9,0
363,"Noah Gray","TE","TE54",239.9,239.9,0
364,"Nsimba Webster","WR","WR136",239.9,239.9,0
365,"Raleigh Webb","WR","WR138",239.9,239.9,0
366,"Riley Leonard","QB","QB47",240,239.9,-0.1
367,"Sam Roush","TE","TE54",239.9,239.9,0
368,"Savion Williams","WR","WR131",239.9,239.9,0
369,"Shaquan Davis","WR","WR139",239.9,239.9,0
370,"Stephen Anderson","TE","TE54",239.9,239.9,0
371,"Taysom Hill","TE","TE57",240,239.9,-0.1
372,"Trey Knox","TE","TE56",239.9,239.9,0
373,"Will Howard","QB","QB45",240,239.9,-0.1
374,"AJ Dillon","RB","RB113",240,240,0
375,"Aaron Anderson","WR","WR159",240,240,0
376,"Allen Lazard","WR","WR157",240,240,0
377,"Andrew Armstrong","WR","WR165",240,240,0
378,"Andy Dalton","QB","QB61",240,240,0
379,"Andy Isabella","WR","WR145",240,240,0
380,"Anthony Gould","WR","WR152",240,240,0
381,"Antonio Gibson","RB","RB119",240,240,0
382,"Bam Knight","RB","RB110",240,240,0
383,"Barion Brown","WR","WR152",239.8,240,0.2
384,"Ben Yurosek","TE","TE59",240,240,0
385,"Brandin Cooks","WR","WR152",239.9,240,0.1
386,"CJ Daniels","WR","WR152",240,240,0
387,"Cade Stover","TE","TE63",239.9,240,0.1
388,"Caleb Douglas","WR","WR152",240,240,0
389,"Cam Akers","RB","RB111",240,240,0
390,"Carson Wentz","QB","QB54",240,240,0
391,"Chase Roberts","WR","WR152",240,240,0
392,"Chris Moore","WR","WR148",240,240,0
393,"Colbie Young","WR","WR141",239.8,240,0.2
394,"Cole Payton","QB","QB57",239.9,240,0.1
395,"Dae'Quan Wright","TE","TE62",240,240,0
396,"Dallen Bentley","TE","TE69",240,240,0
397,"Damien Martinez","RB","RB116",240,240,0
398,"Darius Cooper","WR","WR141",239.9,240,0.1
399,"David Sills","WR","WR167",240,240,0
400,"Davis Mills","QB","QB52",240,240,0
401,"De'Zhaun Stribling","WR","WR167",239.9,240,0.1
402,"DeVante Parker","WR","WR152",239.9,240,0.1
403,"Dean Conners","RB","RB111",240,240,0
404,"Derrick Gore","RB","RB103",240,240,0
405,"Desmond Reid","RB","RB107",240,240,0
406,"Dillon Bell","WR","WR152",239.9,240,0.1
407,"Drew Allar","QB","QB50",240,240,0
408,"Drew Lock","QB","QB59",240,240,0
409,"Eli Raridon","TE","TE64",240,240,0
410,"Elijah Higgins","TE","TE60",240,240,0
411,"Emari Demercado","RB","RB119",240,240,0
412,"Eric Rivers","WR","WR168",240,240,0
413,"Erick All","TE","TE59",239.9,240,0.1
414,"Garrett Nussmeier","QB","QB52",240,240,0
415,"Grant Calcaterra","TE","TE63",240,240,0
416,"Greg Dortch","WR","WR157",240,240,0
417,"Isaiah Hodgins","WR","WR144",240,240,0
418,"Isaiah Neyor","WR","WR165",240,240,0
419,"Isaiah Williams","WR","WR152",240,240,0
420,"J'Mari Taylor","RB","RB110",239.9,240,0.1
421,"J.Michael Sturdivant","WR","WR153",240,240,0
422,"Ja'Lynn Polk","WR","WR144",239.9,240,0.1
423,"Jack Endries","TE","TE66",240,240,0
424,"Jackson Hawes","TE","TE67",240,240,0
425,"Jacob Cowing","WR","WR152",240,240,0
426,"Jacob Saylors","RB","RB116",240,240,0
427,"Jake Bobo","WR","WR143",240,240,0
428,"Jake Briningstool","TE","TE65",240,240,0
429,"Jake Browning","QB","QB61",240,240,0
430,"Jalen Reagor","WR","WR140",240,240,0
431,"Jalen Tolbert","WR","WR157",240,240,0
432,"Jameis Winston","QB","QB51",239.9,240,0.1
433,"Jarrett Stidham","QB","QB60",240,240,0
434,"Jawhar Jordan","RB","RB107",240,240,0
435,"Jaydn Ott","RB","RB116",239.8,240,0.2
436,"Jeremy McNichols","RB","RB108",240,240,0
437,"Jerome Ford","RB","RB116",240,240,0
438,"Jimmy Garoppolo","QB","QB52",239.9,240,0.1
439,"Joe Milton","QB","QB57",240,240,0
440,"John Metchie III","WR","WR148",240,240,0
441,"John Michael Gyllenborg","TE","TE61",240,240,0
442,"Jordan Watkins","WR","WR165",240,240,0
443,"Jordan Whittington","WR","WR142",240,240,0
444,"Josh Cameron","WR","WR152",240,240,0
445,"Josh Oliver","TE","TE61",240,240,0
446,"Joshua Palmer","WR","WR158",239.9,240,0.1
447,"Kendre Miller","RB","RB106",239.8,240,0.2
448,"Kevin Coleman Jr.","WR","WR143",239.9,240,0.1
449,"Lan Larison","RB","RB116",240,240,0
450,"Lewis Bond","WR","WR144",240,240,0
451,"Lil'Jordan Humphrey","WR","WR165",240,240,0
452,"Luke Lachey","TE","TE65",240,240,0
453,"Luke Musgrave","TE","TE56",240,240,0
454,"Luke Schoonmaker","TE","TE69",240,240,0
455,"Malachi Corley","WR","WR152",240,240,0
456,"Malik Knowles","WR","WR144",240,240,0
457,"Matt Breida","RB","RB110",240,240,0
458,"Max Brosmer","QB","QB59",240,240,0
459,"Mitch Tinsley","WR","WR148",240,240,0
460,"Mitchell Evans","TE","TE65",240,240,0
461,"Mitchell Trubisky","QB","QB54",240,240,0
462,"Moliki Matavao","TE","TE63",240,240,0
463,"Noah Thomas","WR","WR150",240,240,0
464,"Noah Whittington","RB","RB110",240,240,0
465,"Oscar Delp","TE","TE73",239.9,240,0.1
466,"Phil Mafah","RB","RB116",239.9,240,0.1
467,"Quinn Ewers","QB","QB57",240,240,0
468,"Raheem Mostert","RB","RB107",240,240,0
469,"Rahsul Faison","RB","RB119",239.9,240,0.1
470,"Rasheen Ali","RB","RB108",240,240,0
471,"Reggie Virgil","WR","WR165",240,240,0
472,"Robert Burns","RB","RB116",239.8,240,0.2
473,"Roman Wilson","WR","WR145",239.9,240,0.1
474,"Samaje Perine","RB","RB105",240,240,0
475,"Snoop Conner","RB","RB106",239.8,240,0.2
